"Time"	"0 L-SI2"	"1 R-Si2"	"2 L-Si3"	"3 R-Si3"
3855.4399	-61.695896	-47.178173	-40.960468	-53.372169
3855.4404	-61.599998	-46.891357	-40.56945	-53.011047
3855.441	-61.701889	-46.965073	-40.572281	-53.019131
3855.4415	-61.653942	-47.051682	-40.766575	-53.191204
3855.442	-61.659935	-47.030735	-40.708813	-53.158081
3855.4425	-61.803783	-47.24585	-40.626812	-53.143543
3855.4431	-61.773815	-47.044029	-40.814644	-53.233215
3855.4436	-61.827755	-47.002537	-40.673264	-53.341473
3855.4441	-61.767818	-47.247864	-40.680939	-53.241295
3855.4446	-61.68391	-47.228123	-40.780712	-53.205341
3855.4452	-61.905674	-47.397312	-40.695076	-53.248566
3855.4457	-61.623974	-47.194286	-40.989952	-53.410141
3855.4462	-61.623974	-47.190258	-40.841705	-53.155659
3855.4467	-61.540062	-47.273643	-40.820297	-53.249775
3855.4473	-61.857723	-47.154808	-40.760109	-53.161716
3855.4478	-61.91766	-47.260349	-40.798485	-53.188782
3855.4483	-61.959618	-47.122581	-40.942287	-53.117691
3855.4488	-61.887691	-47.182201	-40.972584	-53.372574
3855.4494	-61.647945	-47.142723	-40.913204	-53.232811
3855.4499	-61.983593	-47.056114	-40.80616	-53.08012
3855.4504	-61.767818	-47.284924	-40.970966	-53.115265
3855.4509	-61.641953	-47.102036	-40.987125	-53.180702
3855.4515	-61.821762	-47.214828	-41.060638	-53.269974
3855.452	-61.773815	-47.279282	-41.132137	-53.456997
3855.4525	-61.935642	-47.243835	-41.022675	-53.051445
3855.453	-61.815769	-47.326416	-40.984703	-52.965
3855.4536	-61.893688	-47.261559	-40.851398	-53.09103
3855.4541	-61.833752	-47.18663	-40.899471	-53.162525
3855.4546	-61.947628	-47.135071	-41.084072	-53.008625
3855.4551	-61.785801	-46.929626	-40.893005	-53.002972
3855.4557	-61.611984	-47.108482	-40.816257	-53.059925
3855.4562	-61.821762	-47.145947	-40.615906	-52.877342
3855.4567	-61.623974	-47.230541	-40.655495	-52.841396
3855.4572	-61.68391	-47.081089	-40.564201	-52.721024
3855.4578	-61.63596	-47.260349	-40.418381	-52.780399
3855.4583	-61.701889	-47.150375	-40.752438	-53.051037
3855.4588	-61.86372	-47.264782	-40.745567	-53.041748
3855.4593	-61.707882	-47.249069	-40.571472	-53.000141
3855.4599	-61.73785	-47.107273	-40.593285	-52.584488
3855.4604	-61.731857	-47.311508	-40.665997	-52.837757
3855.4609	-61.677914	-47.126205	-40.720928	-52.942783
3855.4614	-61.599998	-47.223289	-40.549255	-53.044979
3855.462	-61.713879	-47.096802	-40.689018	-53.14233
3855.4625	-61.582016	-47.137085	-40.811413	-53.058308
3855.463	-61.899681	-47.387646	-40.632061	-53.080124
3855.4635	-61.845737	-47.293785	-40.736683	-52.98035
3855.4641	-61.540062	-47.184616	-40.773441	-52.933491
3855.4646	-61.629967	-47.249474	-40.743145	-53.032459
3855.4651	-61.725864	-47.135876	-40.867561	-52.994488
3855.4656	-61.558041	-46.912304	-40.783134	-52.71981
3855.4662	-61.576023	-46.849461	-40.726986	-53.011452
3855.4667	-61.629967	-47.237389	-40.965309	-52.994083
3855.4672	-61.414196	-47.135471	-40.890987	-52.962978
3855.4677	-61.875706	-47.120972	-40.802929	-52.785652
3855.4683	-61.755833	-47.117344	-40.84494	-53.51395
3855.4688	-61.923656	-47.158432	-40.94754	-53.06356
3855.4693	-61.552048	-46.986828	-40.797276	-52.988022
3855.4698	-61.677914	-47.095592	-40.74638	-53.160503
3855.4704	-61.594006	-47.326012	-40.670841	-53.0882
3855.4709	-61.713879	-47.373947	-40.720928	-53.229176
3855.4714	-61.528072	-47.219261	-40.703964	-53.126575
3855.4719	-61.282333	-47.278881	-40.612671	-53.169392
3855.4725	-61.420189	-47.344139	-40.444637	-52.963787
3855.473	-61.426182	-47.357433	-40.47089	-53.05629
3855.4735	-61.366245	-47.347763	-40.522999	-53.103554
3855.474	-61.845737	-47.524204	-40.528248	-53.31562
3855.4746	-61.611984	-47.190258	-40.36425	-53.189186
3855.4751	-61.528072	-47.333664	-40.377579	-53.229984
3855.4756	-61.599998	-47.290966	-40.554104	-53.194031
3855.4761	-61.414196	-47.085922	-40.386467	-53.406101
3855.4767	-61.504101	-47.24464	-40.031807	-53.104763
3855.4772	-61.45615	-47.184616	-40.226505	-53.427109
3855.4777	-61.552048	-47.338501	-40.413128	-53.508297
3855.4782	-61.426182	-47.40094	-40.34042	-53.642406
3855.4788	-61.264355	-47.280895	-40.432518	-53.674316
3855.4793	-61.480125	-47.444847	-40.457966	-53.704208
3855.4798	-61.426182	-47.279282	-40.493916	-53.824986
3855.4803	-61.372238	-47.244236	-40.438576	-53.771263
3855.4809	-61.480125	-46.960644	-40.370716	-53.993023
3855.4814	-61.204418	-47.252293	-40.285889	-53.924355
3855.4819	-61.528072	-47.167698	-40.215603	-53.822159
3855.4824	-61.390221	-47.241013	-40.34042	-53.91143
3855.483	-61.408203	-47.218857	-40.354961	-53.810848
3855.4835	-61.384228	-47.071823	-40.462814	-54.102898
3855.484	-61.396214	-47.175755	-40.224087	-54.033821
3855.4845	-61.474133	-47.006565	-40.146935	-54.095219
3855.4851	-61.504101	-47.281296	-40.421207	-54.054825
3855.4856	-61.426182	-47.228527	-40.529865	-54.085529
3855.4861	-61.516087	-47.286533	-40.376369	-54.48381
3855.4866	-61.659935	-47.287338	-40.197826	-54.387672
3855.4872	-61.522079	-47.31715	-40.071796	-54.265682
3855.4877	-61.426182	-47.091564	-40.045948	-54.206707
3855.4882	-61.348267	-47.092773	-40.003128	-54.237003
3855.4887	-61.090538	-47.286938	-40.038677	-54.250736
3855.4893	-61.108521	-47.127415	-40.056854	-54.149754
3855.4898	-61.396214	-47.423096	-39.991013	-53.967175
3855.4903	-61.282333	-47.357834	-39.943348	-54.248718
3855.4908	-61.552048	-47.16206	-39.97768	-54.083103
3855.4914	-61.324291	-47.349377	-39.807625	-54.194183
3855.4919	-61.444164	-47.481907	-39.576572	-54.270931
3855.4924	-61.186436	-47.266796	-39.755512	-54.41716
3855.4929	-61.306309	-47.70266	-39.875484	-54.410294
3855.4935	-61.300316	-47.576172	-39.727646	-54.307289
3855.494	-61.156467	-47.398926	-39.65049	-54.407467
3855.4945	-61.036594	-47.491577	-39.835899	-54.256798
3855.495	-61.168457	-47.315536	-39.831055	-54.341625
3855.4956	-61.228394	-47.275253	-40.005554	-54.320213
3855.4961	-61.210411	-47.299828	-40.051197	-54.442608
3855.4966	-61.408203	-47.408592	-39.747841	-54.383633
3855.4971	-61.354259	-47.293785	-39.865791	-54.339199
3855.4977	-61.492111	-47.409801	-40.004341	-54.370304
3855.4982	-61.246372	-47.59309	-39.882755	-54.372726
3855.4987	-61.27634	-47.754223	-39.835495	-54.242657
3855.4992	-60.862778	-47.46096	-39.724411	-54.329506
3855.4998	-60.820824	-47.417858	-39.676342	-54.302441
3855.5003	-61.318298	-47.434372	-39.73209	-54.243465
3855.5008	-61.078552	-47.525818	-39.959103	-54.352528
3855.5013	-60.964672	-47.49762	-39.981316	-54.094818
3855.5019	-61.138489	-47.695408	-40.13522	-54.262451
3855.5024	-60.904736	-47.5802	-40.129967	-54.354954
3855.5029	-61.324291	-47.625717	-39.828224	-54.287094
3855.5034	-60.952682	-47.578587	-39.948196	-54.38929
3855.504	-61.024609	-47.810619	-39.808029	-54.346066
3855.5045	-61.030602	-47.926231	-39.81934	-54.359394
3855.505	-60.772873	-47.901657	-39.750263	-54.106129
3855.5055	-60.730919	-47.445652	-39.871849	-54.348087
3855.5061	-60.76688	-47.606785	-39.598789	-54.100876
3855.5066	-60.712936	-47.600342	-39.656551	-54.121479
3855.5071	-60.694958	-47.421082	-39.667458	-53.824581
3855.5076	-60.904736	-47.588257	-39.572533	-53.786209
3855.5082	-60.718933	-47.811829	-39.446907	-54.0112
3855.5087	-61.000633	-47.799744	-39.666245	-53.993427
3855.5092	-60.641014	-47.358643	-39.648067	-54.087143
3855.5097	-60.862778	-47.590271	-39.61858	-54.009182
3855.5103	-60.688965	-47.761875	-39.454987	-53.799538
3855.5108	-60.862778	-47.875473	-39.601616	-54.07341
3855.5113	-60.742905	-47.821899	-39.366928	-54.065731
3855.5118	-60.58707	-47.612427	-39.494167	-53.956264
3855.5124	-60.623032	-47.738914	-39.606464	-53.897694
3855.5129	-60.664989	-47.679295	-39.532139	-53.939301
3855.5134	-60.706944	-47.65593	-39.761574	-53.863358
3855.5139	-60.826817	-47.596714	-39.804394	-53.812462
3855.5145	-60.712936	-47.729248	-39.755112	-53.894062
3855.515	-60.808838	-47.677685	-39.543446	-53.871841
3855.5155	-60.641014	-47.797325	-39.570915	-54.146923
