3353.9598	-35.902954	-45.761692	-40.94418	-32.395634
3353.9604	-36.142307	-45.761692	-40.753632	-32.196098
3353.961	-35.902954	-45.761692	-40.729813	-32.160885
3353.9615	-35.902954	-45.761692	-40.729813	-32.160885
3353.9621	-35.902954	-45.761692	-40.729813	-31.961346
3353.9626	-35.902954	-45.985783	-40.729813	-31.926132
3353.9632	-35.902954	-45.997578	-40.729813	-31.726595
3353.9638	-35.663601	-45.997578	-40.729813	-31.691381
3353.9643	-35.663601	-45.997578	-40.729813	-31.491844
3353.9649	-35.663601	-45.997578	-40.729813	-31.456631
3353.9654	-35.902954	-46.221668	-40.729813	-31.456631
3353.966	-35.902954	-46.45755	-40.94418	-31.456631
3353.9666	-35.902954	-46.245258	-40.753632	-31.257093
3353.9671	-35.902954	-46.45755	-40.94418	-31.022341
3353.9677	-35.424248	-46.245258	-40.967999	-30.987127
3353.9682	-35.424248	-46.233463	-40.753632	-30.78759
3353.9688	-35.424248	-46.233463	-40.729813	-30.752377
3353.9694	-35.424248	-46.45755	-40.729813	-30.552839
3353.9699	-35.424248	-46.245258	-40.94418	-30.517626
3353.9705	-35.424248	-46.45755	-40.967999	-30.318089
3353.971	-35.424248	-46.469345	-40.967999	-30.083338
3353.9716	-35.424248	-46.469345	-40.967999	-30.048124
3353.9722	-35.184895	-46.245258	-40.967999	-29.848587
3353.9727	-35.184895	-46.233463	-40.753632	-29.613836
3353.9733	-34.945541	-46.233463	-40.94418	-29.379086
3353.9738	-34.706188	-46.233463	-40.753632	-29.144335
3353.9744	-34.706188	-46.009373	-40.729813	-28.710043
3353.975	-34.466835	-45.997578	-40.729813	-28.440081
3353.9755	-34.227482	-45.997578	-40.729813	-28.20533
3353.9761	-34.227482	-45.997578	-40.729813	-27.970579
3353.9766	-34.466835	-46.221668	-40.729813	-27.536289
3353.9772	-34.227482	-46.009373	-40.729813	-27.066786
3353.9778	-34.227482	-45.997578	-40.729813	-26.597284
3353.9783	-34.227482	-45.997578	-40.729813	-25.928246
3353.9789	-34.227482	-45.997578	-40.729813	-25.223993
3353.9794	-33.988129	-45.997578	-40.729813	-24.120663
3353.98	-33.988129	-45.997578	-40.729813	-22.148754
3353.9806	-33.988129	-45.997578	-40.729813	-18.24015
3353.9811	-33.748775	-45.773487	-40.729813	-6.0331001
3353.9817	-33.988129	-45.985783	-40.729813	10.575532
3353.9822	-33.988129	-45.997578	-40.94418	22.324818
3353.9828	-34.227482	-46.221668	-40.967999	27.735826
3353.9834	-34.227482	-46.233463	-41.182365	27.008099
3353.9839	-33.988129	-46.45755	-40.991817	21.773151
3353.9845	-33.988129	-46.245258	-41.182365	13.908995
3353.985	-33.988129	-46.233463	-41.206184	5.4931726
3353.9856	-33.748775	-46.233463	-40.991817	-2.5587854
3353.9862	-33.748775	-46.233463	-40.967999	-9.7421656
3353.9867	-33.748775	-46.233463	-41.182365	-15.986541
3353.9873	-33.509426	-46.233463	-41.206184	-21.092375
3353.9878	-33.748775	-46.233463	-41.206184	-25.223991
3353.9884	-33.748775	-46.233463	-41.206184	-28.416605
3353.989	-33.509426	-46.233463	-41.206184	-31.069292
3353.9895	-33.270073	-46.009373	-41.206184	-33.052937
3353.9901	-33.270073	-45.997578	-40.991817	-34.332329
3353.9906	-33.03072	-45.997578	-40.967999	-35.506084
3353.9912	-32.791367	-45.773487	-41.182365	-36.480301
3353.9918	-32.552013	-45.761692	-40.991817	-37.020226
3353.9923	-32.552013	-45.761692	-40.967999	-37.68927
3353.9929	-32.073307	-45.761692	-41.182365	-37.994442
3353.9934	-31.833954	-45.985783	-41.206184	-38.428734
3353.994	-31.594601	-45.773487	-41.206184	-38.698696
