"Time"	"Si1"
0.31261844	-42.1875
0.31317844	-42
0.31373844	-42.09375
0.31429844	-42
0.31485844	-42
0.31541844	-42.09375
0.31597844	-42.09375
0.31653844	-42
0.31709844	-42
0.31765844	-42
0.31821844	-42
0.31877844	-41.90625
0.31933844	-41.8125
0.31989844	-41.8125
0.32045844	-41.90625
0.32101844	-41.90625
0.32157844	-42
0.32213844	-41.90625
0.32269844	-42
0.32325844	-41.90625
0.32381844	-41.90625
0.32437844	-42
0.32493844	-41.71875
0.32549844	-41.71875
0.32605844	-41.8125
0.32661844	-41.8125
0.32717844	-42
0.32773844	-41.90625
0.32829844	-41.90625
0.32885844	-42
0.32941844	-41.90625
0.32997844	-41.90625
0.33053844	-41.71875
0.33109844	-41.625
0.33165844	-41.71875
0.33221844	-41.8125
0.33277844	-41.8125
0.33333844	-41.71875
0.33389844	-41.8125
0.33445844	-41.71875
0.33501844	-41.625
0.33557844	-41.625
0.33613844	-41.53125
0.33669844	-41.625
0.33725844	-41.53125
0.33781844	-41.625
0.33837844	-41.71875
0.33893844	-41.625
0.33949844	-41.71875
0.34005844	-41.625
0.34061844	-41.71875
0.34117844	-41.625
0.34173844	-41.625
0.34229844	-41.53125
0.34285844	-41.71875
0.34341844	-41.625
0.34397844	-41.625
0.34453844	-41.625
0.34509844	-41.53125
0.34565844	-41.625
0.34621844	-41.53125
0.34677844	-41.4375
0.34733844	-41.34375
0.34789844	-41.34375
0.34845844	-41.34375
0.34901844	-41.4375
0.34957844	-41.53125
0.35013844	-41.53125
0.35069844	-41.4375
0.35125844	-41.4375
0.35181844	-41.25
0.35237844	-41.34375
0.35293844	-41.34375
0.35349844	-41.25
0.35405844	-41.25
0.35461844	-41.25
0.35517844	-41.25
0.35573844	-41.4375
0.35629844	-41.4375
0.35685844	-41.34375
0.35741844	-41.25
0.35797844	-41.15625
0.35853844	-41.15625
0.35909844	-41.15625
0.35965844	-41.15625
0.36021844	-41.0625
0.36077844	-41.25
0.36133844	-40.96875
0.36189844	-41.0625
0.36245844	-41.15625
0.36301844	-41.0625
0.36357844	-41.0625
0.36413844	-40.96875
0.36469844	-40.96875
0.36525844	-40.96875
0.36581844	-41.0625
0.36637844	-41.0625
0.36693844	-40.96875
0.36749844	-41.0625
0.36805844	-41.0625
0.36861844	-40.875
0.36917844	-40.875
0.36973844	-40.96875
0.37029844	-40.96875
0.37085844	-40.875
0.37141844	-40.96875
0.37197844	-40.96875
0.37253844	-40.96875
0.37309844	-40.96875
0.37365844	-40.78125
0.37421844	-40.875
0.37477844	-40.875
0.37533844	-40.875
0.37589844	-40.78125
0.37645844	-40.78125
0.37701844	-40.875
0.37757844	-40.875
0.37813844	-40.875
0.37869844	-40.96875
0.37925844	-40.875
0.37981844	-40.875
0.38037844	-40.6875
0.38093844	-40.6875
0.38149844	-40.6875
0.38205844	-40.6875
0.38261844	-40.6875
0.38317844	-40.59375
0.38373844	-40.6875
0.38429844	-40.6875
0.38485844	-40.59375
0.38541844	-40.5
0.38597844	-40.5
0.38653844	-40.5
0.38709844	-40.5
0.38765844	-40.5
0.38821844	-40.59375
0.38877844	-40.5
0.38933844	-40.59375
0.38989844	-40.40625
0.39045844	-40.5
0.39101844	-40.5
0.39157844	-40.5
0.39213844	-40.3125
0.39269844	-40.5
0.39325844	-40.5
0.39381844	-40.5
0.39437844	-40.5
0.39493844	-40.59375
0.39549844	-40.3125
0.39605844	-40.5
0.39661844	-40.3125
0.39717844	-40.3125
0.39773844	-40.125
0.39829844	-40.21875
0.39885844	-40.3125
0.39941844	-40.21875
0.39997844	-40.3125
0.40053844	-40.3125
0.40109844	-40.21875
0.40165844	-40.21875
0.40221844	-40.125
0.40277844	-40.21875
0.40333844	-40.125
0.40389844	-40.125
0.40445844	-40.125
0.40501844	-40.03125
0.40557844	-40.03125
0.40613844	-40.125
0.40669844	-39.84375
0.40725844	-39.9375
0.40781844	-39.84375
0.40837844	-39.75
0.40893844	-39.5625
0.40949844	-39.5625
0.41005844	-39.46875
0.41061844	-39.5625
0.41117844	-39.5625
0.41173844	-39.46875
0.41229844	-39.65625
0.41285844	-39.5625
0.41341844	-39.65625
0.41397844	-39.5625
0.41453844	-39.5625
0.41509844	-39.5625
0.41565844	-39.5625
0.41621844	-39.75
0.41677844	-39.65625
0.41733844	-39.5625
0.41789844	-39.5625
0.41845844	-39.5625
0.41901844	-39.5625
0.41957844	-39.5625
0.42013844	-39.375
0.42069844	-39.65625
0.42125844	-39.5625
0.42181844	-39.5625
0.42237844	-39.75
0.42293844	-39.75
0.42349844	-39.5625
0.42405844	-39.46875
0.42461844	-39.65625
0.42517844	-39.65625
0.42573844	-39.75
0.42629844	-39.65625
0.42685844	-39.65625
0.42741844	-39.75
0.42797844	-39.5625
0.42853844	-39.75
0.42909844	-39.75
0.42965844	-39.84375
0.43021844	-39.84375
0.43077844	-39.75
0.43133844	-39.75
0.43189844	-39.9375
0.43245844	-40.03125
0.43301844	-39.84375
0.43357844	-39.9375
0.43413844	-39.9375
0.43469844	-39.9375
0.43525844	-39.9375
0.43581844	-39.9375
0.43637844	-39.9375
0.43693844	-39.9375
0.43749844	-40.125
0.43805844	-40.03125
0.43861844	-40.03125
0.43917844	-40.21875
0.43973844	-40.125
0.44029844	-40.03125
0.44085844	-40.125
0.44141844	-40.125
0.44197844	-40.03125
0.44253844	-39.84375
0.44309844	-39.84375
0.44365844	-39.75
0.44421844	-39.75
0.44477844	-39.84375
0.44533844	-39.5625
0.44589844	-39.5625
0.44645844	-39.375
0.44701844	-39.28125
0.44757844	-39.28125
0.44813844	-39.09375
0.44869844	-39.09375
0.44925844	-38.90625
0.44981844	-39
0.45037844	-39
0.45093844	-39
0.45149844	-38.8125
0.45205844	-38.8125
0.45261844	-38.8125
0.45317844	-38.625
0.45373844	-38.8125
0.45429844	-38.71875
0.45485844	-38.90625
0.45541844	-38.90625
0.45597844	-39
0.45653844	-38.90625
0.45709844	-38.71875
0.45765844	-38.8125
0.45821844	-38.90625
0.45877844	-38.8125
0.45933844	-38.8125
0.45989844	-38.90625
0.46045844	-39
0.46101844	-38.90625
0.46157844	-39.09375
