"Time"	"0 L-SI2"	"1 R-Si2"	"2 L-Si3"	"3 R-Si3"
4493.7805	-57.85886	-45.101471	-46.267292	-49.004501
4493.7811	-57.867321	-45.088284	-46.398571	-48.907558
4493.7816	-57.986961	-45.193775	-45.88678	-48.840908
4493.7821	-58.138023	-45.044731	-46.235783	-48.737904
4493.7826	-58.03772	-44.826565	-46.223263	-48.707607
4493.7832	-57.898743	-44.839748	-46.137627	-48.865143
4493.7837	-57.939831	-45.099075	-46.247093	-49.034798
4493.7842	-58.029259	-45.005573	-46.165901	-49.265041
4493.7847	-57.776684	-44.930454	-46.3606	-49.149921
4493.7853	-57.76218	-45.054321	-46.172367	-49.065094
4493.7858	-57.838318	-44.946037	-46.211952	-49.065094
4493.7863	-57.723511	-44.758636	-46.049973	-48.931793
4493.7868	-57.879406	-44.829762	-46.10733	-49.192333
4493.7874	-57.854027	-44.505703	-45.91021	-48.725784
4493.7879	-57.802063	-44.286335	-45.825382	-48.750023
4493.7884	-57.933788	-44.255566	-45.980091	-49.168098
4493.7889	-57.823814	-44.366249	-46.031391	-48.974209
4493.7895	-57.908409	-44.676323	-46.250729	-49.349869
4493.79	-57.793602	-44.395817	-46.131569	-49.622528
4493.7905	-57.815353	-44.474937	-46.081882	-49.519524
4493.791	-57.93137	-44.040195	-46.067341	-49.149921
4493.7916	-58.058262	-44.159668	-45.981705	-49.192333
4493.7921	-57.948288	-43.879566	-45.963528	-49.301399
4493.7926	-57.866112	-43.909134	-45.852444	-49.192333
4493.7931	-57.854027	-43.851196	-45.688446	-49.192333
4493.7937	-57.805687	-43.958683	-45.65007	-49.380165
4493.7942	-57.957958	-43.94989	-45.694908	-49.09539
4493.7947	-57.607494	-43.764088	-45.69693	-49.252926
4493.7952	-57.586948	-43.885159	-45.633106	-49.258984
4493.7958	-57.828648	-43.956284	-45.728436	-49.198395
4493.7963	-57.748886	-43.625034	-45.755096	-48.925735
4493.7968	-57.724716	-43.578686	-45.730457	-48.907558
4493.7973	-57.814148	-43.308571	-45.820938	-49.101448
4493.7979	-57.903576	-43.636223	-45.704201	-49.065094
4493.7984	-57.785141	-43.308571	-45.72076	-48.937851
4493.7989	-58.007507	-43.333744	-45.836693	-49.162037
4493.7994	-57.9072	-43.141548	-45.753883	-49.052975
4493.8	-57.856445	-43.446423	-45.691273	-49.065094
4493.8005	-57.9072	-43.485985	-45.552723	-49.192333
4493.801	-57.818981	-43.296982	-45.674309	-49.343811
4493.8015	-57.904785	-43.149139	-45.769638	-49.034798
4493.8021	-57.869736	-43.178707	-45.675926	-49.065094
4493.8026	-57.960373	-43.181503	-45.575748	-49.21051
4493.8031	-57.982128	-43.075218	-45.709854	-49.14386
4493.8036	-57.864902	-43.134754	-45.585442	-49.28928
4493.8042	-57.874573	-42.994102	-45.6731	-49.380165
4493.8047	-58.005089	-42.838268	-45.627045	-49.265041
4493.8052	-57.957958	-42.738373	-45.570091	-49.35593
4493.8057	-57.982128	-42.525002	-45.667843	-49.307457
4493.8063	-57.794811	-42.834675	-45.395187	-49.180218
4493.8068	-57.962791	-42.505421	-45.387512	-49.319576
4493.8073	-57.847984	-42.849457	-45.529701	-49.149921
4493.8078	-57.85886	-42.646473	-45.398418	-49.337753
4493.8084	-57.741638	-42.842667	-45.779331	-49.337753
4493.8089	-57.8927	-42.667648	-45.705006	-49.319576
4493.8094	-57.895115	-42.693222	-45.45295	-49.107506
4493.8099	-57.850403	-42.483444	-45.380646	-49.428638
4493.8105	-57.982128	-42.540981	-45.564034	-49.258984
4493.811	-58.03651	-42.456673	-45.456585	-49.040855
4493.8115	-57.857651	-42.209732	-45.283298	-49.077213
4493.812	-57.797226	-42.136608	-45.123333	-48.992386
4493.8126	-57.861279	-42.238903	-45.238865	-48.992386
4493.8131	-57.94104	-41.977982	-45.233612	-48.780315
4493.8136	-58.029259	-42.059494	-45.271584	-48.901497
4493.8141	-57.84436	-41.915646	-45.330555	-49.02874
4493.8147	-57.957958	-42.134212	-45.443657	-49.022678
4493.8152	-58.028049	-42.156189	-45.207756	-48.780315
4493.8157	-57.957958	-41.966389	-45.258251	-48.853027
4493.8162	-57.841942	-42.08147	-45.219475	-48.907558
4493.8168	-57.933788	-42.264076	-45.347927	-49.083271
4493.8173	-57.875778	-41.907253	-45.206142	-48.592484
4493.8178	-58.06189	-41.864098	-45.27037	-48.834846
4493.8183	-57.934998	-42.025127	-45.194832	-48.907558
4493.8189	-57.779099	-41.930428	-45.04982	-48.859085
4493.8194	-57.872154	-41.682293	-44.961357	-49.065094
4493.8199	-58.129562	-42.011944	-44.824825	-49.071152
4493.8204	-57.997837	-41.796173	-45.283295	-48.986324
4493.821	-57.815353	-41.555229	-44.847446	-48.913616
4493.8215	-57.93137	-41.897263	-44.863602	-48.919674
4493.822	-57.896324	-41.760612	-44.872894	-48.871204
4493.8225	-57.984543	-41.721054	-44.740807	-49.083271
4493.8231	-57.904785	-41.579205	-44.725861	-48.956028
4493.8236	-57.88303	-41.725845	-44.826439	-48.919674
4493.8241	-57.773056	-41.692284	-44.78928	-48.937851
4493.8246	-57.837109	-41.58839	-44.83371	-49.131744
4493.8252	-57.922913	-41.452534	-44.468952	-49.180218
4493.8257	-57.817772	-41.532852	-44.590134	-48.840908
4493.8262	-57.884239	-41.421768	-44.496826	-48.774258
4493.8267	-58.077599	-41.312683	-44.488747	-48.737904
4493.8273	-57.974876	-41.042568	-44.427349	-48.634899
4493.8278	-57.856445	-40.956661	-43.9608	-48.550072
4493.8283	-57.777893	-41.091717	-44.074306	-48.44101
4493.8288	-57.657043	-40.984234	-43.824268	-48.544014
4493.8294	-57.857651	-40.931087	-43.802456	-48.725784
4493.8299	-57.928955	-40.995022	-43.795185	-48.477364
4493.8304	-58.000256	-40.89912	-43.678043	-48.616722
4493.8309	-57.746471	-40.880741	-43.723286	-48.289532
4493.8315	-57.741638	-41.008606	-43.64896	-48.562191
4493.832	-57.83469	-40.905914	-43.861832	-48.616722
4493.8325	-57.950706	-40.758072	-43.854565	-48.422832
4493.833	-57.945873	-40.56348	-43.816593	-48.368298
4493.8336	-57.962791	-40.667767	-43.74873	-48.640957
4493.8341	-57.838318	-40.485958	-43.670773	-48.531895
4493.8346	-57.88303	-40.752079	-43.644516	-48.483421
4493.8351	-57.747681	-40.643391	-43.516064	-48.386475
4493.8357	-57.718674	-40.388065	-43.391651	-48.598545
4493.8362	-57.914452	-40.46558	-43.470013	-48.568249
4493.8367	-57.846775	-40.119946	-43.442547	-48.737904
4493.8372	-57.759766	-39.949326	-43.205029	-48.586426
4493.8378	-57.643749	-40.078789	-43.232498	-48.392536
4493.8383	-57.729553	-40.22863	-43.231689	-48.447067
4493.8388	-57.767014	-40.031643	-43.109299	-48.647018
4493.8393	-57.967625	-39.77631	-42.901672	-48.853027
4493.8399	-57.804478	-39.87101	-43.36095	-48.792435
4493.8404	-57.833481	-39.666428	-43.178772	-48.919674
4493.8409	-57.757347	-39.505795	-42.971149	-48.828789
