"Time"	"0 Si2"
231.02192	-37.224121
231.02248	-36.941406
231.02304	-37.035645
231.0236	-37.035645
231.02416	-37.035645
231.02472	-36.941406
231.02528	-36.847168
231.02584	-37.035645
231.0264	-37.129883
231.02696	-37.224121
231.02752	-37.035645
231.02808	-37.129883
231.02864	-36.941406
231.0292	-36.847168
231.02976	-36.75293
231.03032	-36.847168
231.03088	-36.941406
231.03144	-36.847168
231.032	-36.847168
231.03256	-36.847168
231.03312	-36.75293
231.03368	-36.75293
231.03424	-36.75293
231.0348	-36.564453
231.03536	-36.470215
231.03592	-36.470215
231.03648	-36.658691
231.03704	-36.564453
231.0376	-36.75293
231.03816	-36.470215
231.03872	-36.564453
231.03928	-36.470215
231.03984	-36.470215
231.0404	-36.375977
231.04096	-36.281738
231.04152	-36.375977
231.04208	-36.281738
231.04264	-36.375977
231.0432	-36.564453
231.04376	-36.470215
231.04432	-36.470215
231.04488	-36.375977
231.04544	-36.1875
231.046	-36.1875
231.04656	-36.281738
231.04712	-36.281738
231.04768	-36.281738
231.04824	-36.281738
231.0488	-36.1875
231.04936	-36.1875
231.04992	-36.093262
231.05048	-36.093262
231.05104	-36.093262
231.0516	-35.904785
231.05216	-35.904785
231.05272	-35.904785
231.05328	-35.810547
231.05384	-35.904785
231.0544	-35.904785
231.05496	-35.810547
231.05552	-35.904785
231.05608	-35.716309
231.05664	-35.62207
231.0572	-35.62207
231.05776	-35.62207
231.05832	-35.62207
231.05888	-35.716309
231.05944	-35.716309
231.06	-35.810547
231.06056	-35.716309
231.06112	-35.716309
231.06168	-35.716309
231.06224	-35.62207
231.0628	-35.527832
231.06336	-35.527832
231.06392	-35.527832
231.06448	-35.527832
231.06504	-35.62207
231.0656	-35.62207
231.06616	-35.527832
231.06672	-35.62207
231.06728	-35.527832
231.06784	-35.245117
231.0684	-35.150879
231.06896	-35.245117
231.06952	-35.245117
231.07008	-35.339355
231.07064	-35.433594
231.0712	-35.433594
231.07176	-35.433594
231.07232	-35.245117
231.07288	-35.339355
231.07344	-35.150879
231.074	-35.339355
231.07456	-35.339355
231.07512	-35.339355
231.07568	-35.433594
231.07624	-35.716309
231.0768	-35.716309
231.07736	-35.810547
231.07792	-35.716309
231.07848	-35.527832
231.07904	-35.716309
231.0796	-35.62207
231.08016	-35.716309
231.08072	-35.62207
231.08128	-35.716309
231.08184	-35.904785
231.0824	-35.810547
231.08296	-35.810547
231.08352	-35.810547
231.08408	-35.716309
231.08464	-35.62207
231.0852	-35.62207
231.08576	-35.716309
231.08632	-35.716309
231.08688	-35.810547
231.08744	-35.904785
231.088	-35.904785
231.08856	-35.999023
231.08912	-35.904785
231.08968	-35.904785
231.09024	-35.999023
231.0908	-36.093262
231.09136	-36.093262
231.09192	-36.1875
231.09248	-36.281738
231.09304	-36.281738
231.0936	-36.281738
231.09416	-36.470215
231.09472	-36.375977
231.09528	-36.470215
231.09584	-36.281738
