mode,control_gain,phase,interval_start_s,frequency_hz,driver_frequency_hz
presynaptic,0.739442688882505,pre,277.7625681956253,0.024555006343567352,3.683250951535103
presynaptic,0.739442688882505,pre,318.4874609530637,0.024554591975722857,3.6831887963584284
presynaptic,0.739442688882505,pre,359.2130409581683,0.02455445837523869,3.683168756285803
presynaptic,0.739442688882505,pre,399.9388425506165,0.02455440844491113,3.6831612667366693
presynaptic,0.739442688882505,pre,440.66472695722086,0.02455439347717122,3.6831590215756833
presynaptic,0.787704682562482,pre,113.00221123192817,0.026709571562038233,3.6859208755612762
presynaptic,0.787704682562482,pre,150.44197314189753,0.025058924193961628,3.683661856512359
presynaptic,0.787704682562482,pre,190.34791612092482,0.025880544252367996,3.6750372838362555
presynaptic,0.787704682562482,pre,228.98697989982904,0.026712052539980623,3.6862632505173263
presynaptic,0.787704682562482,pre,266.42326445726894,0.02590071924887846,3.677902133340741
presynaptic,0.787704682562482,pre,305.0322308875468,0.02594507804004683,3.6842010816866497
presynaptic,0.787704682562482,pre,343.57518683689784,0.02657682009815079,3.69417799364296
presynaptic,0.787704682562482,pre,381.20196070626605,0.025337791024823468,3.673979698599403
presynaptic,0.787704682562482,pre,420.66870028985085,0.025922865867589486,3.6810469531977072
presynaptic,0.835966676242459,pre,109.15138411474355,0.027044301953973986,3.6780250657404623
presynaptic,0.835966676242459,pre,146.12774984612292,0.02747609293301849,3.6817964530244778
presynaptic,0.835966676242459,pre,182.52302636661696,0.027532672165346574,3.6893780701564407
presynaptic,0.835966676242459,pre,218.84351113447866,0.026282038991777442,3.6794854588488417
presynaptic,0.835966676242459,pre,256.8923094150405,0.025382049083948387,3.680397117172516
presynaptic,0.835966676242459,pre,296.29023180864266,0.02748640433284933,3.6831781806018102
presynaptic,0.835966676242459,pre,332.67185480634004,0.027545498162668828,3.691096753797623
presynaptic,0.835966676242459,pre,368.97542768400376,0.027020763952045113,3.6748238974781353
presynaptic,0.835966676242459,pre,405.9840038210346,0.027509697615187945,3.6862994804351845
presynaptic,0.8842286699224361,pre,111.0338277538992,0.026875500280225766,3.6819435383909296
presynaptic,0.8842286699224361,pre,148.2424374383028,0.026669338723326864,3.6803687438191073
presynaptic,0.8842286699224361,pre,185.73868023510414,0.027659040684280288,3.678652411009278
presynaptic,0.8842286699224361,pre,221.8932241115423,0.027666940058126026,3.6797030277307616
presynaptic,0.8842286699224361,pre,258.0374452613724,0.02753895249695137,3.6902196345914837
presynaptic,0.8842286699224361,pre,294.34964704576134,0.027665796522916647,3.679550937547914
presynaptic,0.8842286699224361,pre,330.4953621771389,0.02766605810818931,3.679585728389178
presynaptic,0.8842286699224361,pre,366.6407355472611,0.027516825287846387,3.687254588571416
presynaptic,0.8842286699224361,pre,402.98213720022284,0.02752057064135134,3.6877564659410798
presynaptic,0.9324906636024131,pre,106.05273908129315,0.026763423504734176,3.6933524436533163
presynaptic,0.9324906636024131,pre,143.41716668612145,0.027542855620904954,3.690742653201264
presynaptic,0.9324906636024131,pre,179.72422263427094,0.02876609555788407,3.682060231409161
presynaptic,0.9324906636024131,pre,214.48736933896598,0.026922767059828594,3.661496320136689
presynaptic,0.9324906636024131,pre,251.63065397155108,0.02689285616506072,3.6843212946133184
presynaptic,0.9324906636024131,pre,288.81525027706374,0.026639638260461784,3.702909718204188
presynaptic,0.9324906636024131,pre,326.3532975366689,0.027901302407362646,3.6829719177718694
presynaptic,0.9324906636024131,pre,362.1939183578718,0.026368181394730857,3.6651772138675893
presynaptic,0.9324906636024131,pre,400.11841474349774,0.02845229564199912,3.698798433459886
presynaptic,0.9807526572823901,pre,107.02068092662051,0.026248889714491862,3.674844560028861
presynaptic,0.9807526572823901,pre,145.11753038871055,0.027672629088456937,3.680459668764773
presynaptic,0.9807526572823901,pre,181.254320890381,0.02769040485468251,3.682823845672774
presynaptic,0.9807526572823901,pre,217.36791349575952,0.027676903181629287,3.6810281231566955
presynaptic,0.9807526572823901,pre,253.49912345944347,0.026866927895274388,3.680769121652591
presynaptic,0.9807526572823901,pre,290.71960523160357,0.026356518020911608,3.6899125229276253
presynaptic,0.9807526572823901,pre,328.6608840912233,0.02867956146432171,3.6996634288975003
presynaptic,0.9807526572823901,pre,363.5289207327191,0.028962249825105642,3.678205727788417
presynaptic,0.9807526572823901,pre,398.05662510785226,0.02777773239385797,3.666660675989252
presynaptic,1.0290146509623672,pre,104.05286443634537,0.02947389923222168,3.68423740402771
presynaptic,1.0290146509623672,pre,137.98118834493675,0.028950850789007977,3.6767580502040134
presynaptic,1.0290146509623672,pre,172.5224875726499,0.027831196436168982,3.673717929574306
presynaptic,1.0290146509623672,pre,208.45338987120923,0.027977474064258052,3.693026576482063
presynaptic,1.0290146509623672,pre,244.19643077987817,0.029520878086979844,3.6901097608724807
presynaptic,1.0290146509623672,pre,278.07076192455537,0.028696213984760906,3.673115390049396
presynaptic,1.0290146509623672,pre,312.91856451381153,0.0283471956625672,3.685135436133736
presynaptic,1.0290146509623672,pre,348.195422651864,0.02887272178039807,3.695708387890953
presynaptic,1.0290146509623672,pre,382.8301899455699,0.028069186996141162,3.677063496494492
presynaptic,1.077276644642344,pre,102.92401389304747,0.02818886772243655,3.6645528039167514
presynaptic,1.077276644642344,pre,138.39901096801205,0.02814763480887516,3.6873401599626456
presynaptic,1.077276644642344,pre,173.92597466460984,0.028946066857717733,3.70509655778787
