mode,control_gain,onset_failed,n_pre_intervals,mean_pre_frequency_hz,mean_pre_driver_frequency_hz,n_post_intervals,mean_post_frequency_hz
presynaptic,2.573398448721632,false,9,0.06881306945927977,3.6842469657713526,0,0.0
presynaptic,2.6216604424016086,false,9,0.07201450734370042,3.6838431466135972,0,0.0
presynaptic,2.6699224360815856,false,9,0.07261351434810387,3.684937704147287,0,0.0
presynaptic,2.7181844297615627,false,9,0.0751255789765903,3.6844278732882194,0,0.0
presynaptic,2.76644642344154,false,9,0.08309857092963738,3.6853200454689405,0,0.0
presynaptic,2.814708417121517,false,9,0.09051361932699614,3.679413693915466,0,0.0
presynaptic,2.862970410801494,false,9,0.0893584532538988,3.678684342682006,0,0.0
presynaptic,2.911232404481471,false,9,0.09320085930358445,3.6882290179177923,0,0.0
presynaptic,2.9594943981614477,false,9,0.08866651660933966,3.6809856166450725,0,0.0
presynaptic,3.0077563918414247,false,9,0.08970875446365954,3.6768753063394914,0,0.0
presynaptic,3.056018385521402,false,9,0.09891312440343236,3.6862787124732614,0,0.0
presynaptic,3.104280379201379,false,9,0.09820444955938971,3.6865109059042345,0,0.0
presynaptic,3.152542372881356,false,9,0.11037239499399089,3.690498029343182,0,0.0
presynaptic,3.200804366561333,false,9,0.10181889047035221,3.689538008000901,0,0.0
presynaptic,3.24906636024131,false,9,0.1110194741393171,3.6882934149030913,0,0.0
presynaptic,3.297328353921287,false,9,0.11036095744590281,3.6781387859085846,0,0.0
presynaptic,3.345590347601264,false,9,0.1140874212336633,3.679076904337953,0,0.0
presynaptic,3.393852341281241,false,9,0.11381550328063916,3.678925342879247,0,0.0
presynaptic,3.442114334961218,false,9,0.11206470947048645,3.685192884719898,0,0.0
presynaptic,3.490376328641195,false,9,0.1116709544126129,3.6842629096692443,0,0.0
presynaptic,3.538638322321172,false,9,0.11287471499355167,3.681318542428336,0,0.0
presynaptic,3.5869003160011492,false,9,0.12026455155588771,3.682837647049098,0,0.0
presynaptic,3.6351623096811263,false,9,0.1267139013258329,3.6884875809993525,0,0.0
presynaptic,3.683424303361103,false,9,0.12511754762069954,3.690576392192345,0,0.0
presynaptic,3.73168629704108,false,9,0.1277266618458759,3.6749209684396678,0,0.0
presynaptic,3.779948290721057,false,9,0.1246713956606385,3.684324837895474,0,0.0
presynaptic,3.828210284401034,false,9,0.12582268542746242,3.684922310214821,0,0.0
presynaptic,3.8764722780810112,false,9,0.12961829071228786,3.670693139210358,0,0.0
presynaptic,3.9247342717609883,false,9,0.12869863308626384,3.6887081120268457,0,0.0
presynaptic,3.9729962654409654,false,9,0.1280888366623506,3.6848067334443524,0,0.0
presynaptic,4.021258259120942,false,9,0.1274062213607276,3.677650597153255,0,0.0
presynaptic,4.06952025280092,false,9,0.1292113917609668,3.687399100360282,0,0.0
presynaptic,4.117782246480896,false,9,0.13301521998777996,3.691746419366678,0,0.0
presynaptic,4.166044240160874,false,9,0.13279967773474477,3.6860781491069554,0,0.0
presynaptic,4.21430623384085,false,9,0.13131078008408317,3.6896634615721413,0,0.0
presynaptic,4.262568227520827,false,9,0.13127961824181936,3.6724532133192267,0,0.0
presynaptic,4.3108302212008045,false,9,0.1392092519423827,3.6840487769455583,0,0.0
presynaptic,4.359092214880781,false,9,0.13228488421844517,3.6803590932758734,0,0.0
