mode,control_gain,onset_failed,n_pre_intervals,mean_pre_frequency_hz,mean_pre_driver_frequency_hz,n_post_intervals,mean_post_frequency_hz
presynaptic,4.648664176960644,false,9,0.1399584566317114,3.685394475254525,0,0.0
presynaptic,4.69692617064062,false,9,0.14119448751954894,3.6865739179780115,0,0.0
presynaptic,4.745188164320598,false,9,0.14211385771550328,3.6787321519546428,0,0.0
presynaptic,4.793450158000574,false,9,0.14135489553975686,3.690756095596679,0,0.0
presynaptic,4.841712151680552,false,9,0.1415686084129068,3.680783818735577,0,0.0
presynaptic,4.8899741453605285,false,9,0.1418717483617965,3.688665457406709,0,0.0
presynaptic,4.938236139040505,false,9,0.14298636374853918,3.6838309269468104,0,0.0
presynaptic,4.986498132720483,false,9,0.14770701292153954,3.6811776168209622,0,0.0
presynaptic,5.034760126400459,false,9,0.14938818590952063,3.6778530063685286,0,0.0
presynaptic,5.083022120080437,false,9,0.14622907885886757,3.680818544586068,0,0.0
presynaptic,5.1312841137604135,false,9,0.14982258308242338,3.681200212235085,0,0.0
presynaptic,5.179546107440391,false,9,0.15172600843649706,3.691277873781724,0,0.0
presynaptic,5.227808101120368,false,9,0.15300762826126188,3.6735433533034003,0,0.0
presynaptic,5.276070094800345,false,9,0.15223804268074215,3.6820734242712376,0,0.0
presynaptic,5.324332088480322,false,9,0.15314724462606388,3.68300743151402,0,0.0
presynaptic,5.372594082160298,false,9,0.1535189338005107,3.6773738572239063,0,0.0
presynaptic,5.420856075840276,false,9,0.1567013114280767,3.6846004894619973,0,0.0
presynaptic,5.469118069520253,false,9,0.1589120867156778,3.687467019527018,0,0.0
presynaptic,5.51738006320023,false,9,0.15885442157146173,3.676024248041637,0,0.0
presynaptic,5.565642056880207,false,9,0.15886835976729977,3.6886863165759505,0,0.0
presynaptic,5.613904050560184,false,9,0.16332309904744824,3.679351688355044,0,0.0
presynaptic,5.662166044240161,false,9,0.16175575764157132,3.67433802515878,0,0.0
presynaptic,5.7104280379201375,false,9,0.1651639446778025,3.684883466894069,0,0.0
presynaptic,5.758690031600115,false,9,0.16591755731780808,3.7004430911586863,0,0.0
presynaptic,5.806952025280092,false,9,0.1630268189095819,3.6833912653370677,0,0.0
presynaptic,5.855214018960069,false,9,0.16672486878099269,3.6706172876244643,0,0.0
presynaptic,5.903476012640046,false,9,0.16637435094126377,3.6874644495641125,0,0.0
presynaptic,5.951738006320023,false,9,0.1621000932771407,3.678841000996902,0,0.0
presynaptic,6.0,false,9,0.1644938273330775,3.6684222799804,0,0.0
