mode,time_s,V0,V1
presynaptic,2.03,-41.90625,-43.29867759646826
presynaptic,2.04,-41.73213619587052,-43.29867764856195
presynaptic,2.05,-41.651779053013385,-43.298677700216764
presynaptic,2.06,-41.47767191015621,-43.298677751436145
presynaptic,2.07,-40.84819430189736,-43.29867780222355
presynaptic,2.08,-39.5625,-43.29867785258241
presynaptic,2.09,-39.375,-43.29867790251612
presynaptic,2.1,-39.18750666127235,-43.29867795202802
presynaptic,2.11,-38.91963619587052,-43.29867800112147
presynaptic,2.12,-38.625,-43.298678049799804
presynaptic,2.13,-38.53125,-43.29867809806629
presynaptic,2.14,-38.678564767299044,-43.298678145924185
presynaptic,2.15,-38.8125,-43.29867819337673
presynaptic,2.16,-39.1875,-43.29867824042716
presynaptic,2.17,-39.37500666127235,-43.29867828707867
presynaptic,2.18,-39.57588619587045,-43.298678333334394
presynaptic,2.19,-39.70980810602677,-43.29867837919748
presynaptic,2.2,-39.897328089843825,-43.29867842467108
presynaptic,2.21,-39.883935232700914,-43.298678469758265
presynaptic,2.22,-39.68304237555809,-43.29867851446208
presynaptic,2.23,-39.84375,-43.298678558785596
presynaptic,2.24,-39.9374866774553,-43.29867860273185
presynaptic,2.25,-39.84375,-43.298678646303834
presynaptic,2.26,-39.65625,-43.29867868950449
presynaptic,2.27,-39.84375,-43.2986787323368
presynaptic,2.28,-40.03125,-43.29867877480371
presynaptic,2.29,-40.21875,-43.29867881690811
presynaptic,2.3,-40.232149518415156,-43.29867885865287
presynaptic,2.31,-40.6875,-43.29867890004087
presynaptic,2.32,-40.941977608258966,-43.298678941074975
presynaptic,2.33,-41.53125,-43.298678981757966
presynaptic,2.34,-41.71875,-43.29867902209266
presynaptic,2.35,-41.209814767299044,-43.29867906208182
presynaptic,2.36,-40.96875,-43.298679101728226
presynaptic,2.37,-41.0625,-43.298679141034604
presynaptic,2.38,-41.62500666127235,-43.29867918000366
presynaptic,2.39,-42.20088619587052,-43.298679218638064
presynaptic,2.4,-42.75,-43.298679256940545
presynaptic,2.41,-42.897328089843825,-43.29867929491372
presynaptic,2.42,-43.32587953459817,-43.2986793325602
presynaptic,2.43,-43.084834751116176,-43.29867936988262
presynaptic,2.44,-43.23214951841522,-43.29867940688357
presynaptic,2.45,-43.50000666127235,-43.29867944356563
presynaptic,2.46,-43.41963619587052,-43.29867947993132
presynaptic,2.47,-43.28572094698669,-43.29867951598319
presynaptic,2.48,-43.21875,-43.29867955172375
presynaptic,2.49,-43.03125,-43.2986795871555
presynaptic,2.5,-43.03125,-43.29867962228088
presynaptic,2.51,-43.03125,-43.298679657102376
presynaptic,2.52,-42.84375,-43.29867969162243
presynaptic,2.53,-42.9375,-43.298679725843435
presynaptic,2.54,-43.058029053013385,-43.29867975976777
presynaptic,2.55,-42.28125,-43.298679793397866
presynaptic,2.56,-41.383935232700956,-43.29867982673605
presynaptic,2.57,-41.29016524888393,-43.29867985978467
presynaptic,2.58,-41.34375,-43.29867989254604
presynaptic,2.59,-41.34375,-43.29867992502248
presynaptic,2.6,-41.879477608258966,-43.298679957216294
presynaptic,2.61,-42.066970946986615,-43.298679989129724
presynaptic,2.62,-42.22767191015621,-43.29868002076502
presynaptic,2.63,-42.33481476729912,-43.29868005212443
presynaptic,2.64,-42.1875,-43.2986800832102
presynaptic,2.65,-42.01339951841522,-43.29868011402449
presynaptic,2.66,-42.0,-43.29868014456949
presynaptic,2.67,-41.98661380412948,-43.298680174847384
presynaptic,2.68,-42.16072094698667,-43.29868020486031
presynaptic,2.69,-42.14732808984375,-43.29868023461041
presynaptic,2.7,-42.040185232700956,-43.29868026409979
presynaptic,2.71,-41.946415248883824,-43.29868029333056
presynaptic,2.72,-41.625,-43.298680322304826
presynaptic,2.73,-41.625,-43.29868035102461
presynaptic,2.74,-41.71875,-43.29868037949199
presynaptic,2.75,-41.53125,-43.29868040770902
presynaptic,2.76,-41.19642191015625,-43.298680435677696
presynaptic,2.77,-40.98212953459817,-43.29868046340003
presynaptic,2.78,-40.90179237555801,-43.298680490878006
presynaptic,2.79,-41.14285048158478,-43.29868051811361
presynaptic,2.8,-41.0625,-43.29868054510881
presynaptic,2.81,-40.5,-43.298680571865525
presynaptic,2.82,-40.245529053013385,-43.298680598385694
presynaptic,2.83,-40.35267191015621,-43.298680624671235
presynaptic,2.84,-40.419629534598236,-43.29868065072406
presynaptic,2.85,-40.5,-43.29868067654602
