mode,control_gain,n_points,mean_burst_frequency_hz,std_burst_frequency_hz,mean_cycle_excitation,std_cycle_excitation,peak_cycle_excitation,mean_gain_factor,mean_alpha_eff,mean_g_eff
presynaptic,3.559322033898305,10,0.11101214972641844,0.031078143727042463,0.00015497552182229822,3.159173433004531e-5,0.0007793353548838062,4.03088043224491,0.04433968475469399,0.0010000000000000007
presynaptic,3.6610169491525424,10,0.10917243952332085,0.028583056327815073,0.0001604494276857972,5.0159054921131816e-5,0.0007239927622572242,4.109114919555539,0.04520026411511093,0.0010000000000000007
presynaptic,3.76271186440678,10,0.1132998778286117,0.03008201907400834,0.00016629089988473935,4.035796207586305e-5,0.000752852337247353,4.21208035562938,0.04633288391192319,0.0010000000000000009
presynaptic,3.864406779661017,10,0.11625396009505069,0.029616557925798547,0.00015971104613273,2.8431909597144136e-5,0.0007622337085455677,4.3070926660610365,0.04737801932667139,0.0010000000000000009
presynaptic,3.9661016949152543,10,0.11771829517766305,0.021106825647693537,0.00018636422397066667,4.3109240542373e-5,0.0007817050604936417,4.3974403814502026,0.04837184419595224,0.0010000000000000009
presynaptic,4.067796610169491,10,0.11852895167776809,0.02129638737591321,0.0001559753749437914,3.6976247125821596e-5,0.0007465144292948587,4.492427063570821,0.04941669769927903,0.0010000000000000009
presynaptic,4.169491525423729,10,0.12037649931852872,0.019882524263088716,0.00016084272728931155,3.7625938869785925e-5,0.0007381767769372235,4.585527047735015,0.050440797525085165,0.0010000000000000007
presynaptic,4.271186440677966,10,0.1281722771868667,0.02055244743772951,0.000174996837386773,5.103120568930086e-5,0.0007813578689145585,4.695922834699283,0.05165515118169213,0.0010000000000000009
presynaptic,4.372881355932203,10,0.13261377234136595,0.017651403313773784,0.00017800519903915654,4.112233838586816e-5,0.0007987000443930574,4.8047842540716585,0.052852626794788235,0.0010000000000000007
presynaptic,4.47457627118644,10,0.1313815691519284,0.01513723786148813,0.00016119111811403752,2.318181308257336e-5,0.0007634744747018358,4.884679979857055,0.053731479778427606,0.0010000000000000007
presynaptic,4.576271186440678,10,0.13993517684438958,0.016851020168064196,0.0001962024502902739,3.6620904860694834e-5,0.0008205839463957901,4.993866522052393,0.05493253174257632,0.0010000000000000007
presynaptic,4.677966101694915,10,0.1409365744689032,0.013699954494223622,0.00019824401926136326,4.918484658195272e-5,0.0007995220426765387,5.082400309420547,0.055906403403626015,0.0010000000000000005
presynaptic,4.779661016949152,10,0.14032408828653067,0.0148889251811583,0.00021623653904375307,3.590003299136769e-5,0.0008327638582659178,5.169823301158804,0.05686805631274683,0.0010000000000000009
presynaptic,4.88135593220339,10,0.14540162974870946,0.013803760946045067,0.00021908029138679652,2.272007037487102e-5,0.0008596193193522279,5.269027986312407,0.05795930784943648,0.0010000000000000009
presynaptic,4.983050847457627,10,0.1446076643961328,0.01376081108679418,0.0002216076304843399,3.3157252544563544e-5,0.0008572573617785191,5.354277008935389,0.05889704709828928,0.0010000000000000007
presynaptic,5.084745762711864,10,0.14930812336652127,0.013526933120439972,0.00021935468768471007,3.3049805062174594e-5,0.0008649735748806937,5.4544786819214375,0.05999926550113581,0.0010000000000000007
presynaptic,5.186440677966102,10,0.1527067574234481,0.016490159611292472,0.00021023270424621156,4.6468421390934824e-5,0.0008410386780675174,5.55379267507042,0.06109171942577463,0.0010000000000000009
presynaptic,5.288135593220339,10,0.1492490084729135,0.016485500782606636,0.00022116363001472656,3.105380763230511e-5,0.0008695734978172188,5.6330447113793625,0.06196349182517298,0.0010000000000000009
presynaptic,5.389830508474576,10,0.15280673518215163,0.015167354225278698,0.00020831082556583527,4.6312499823946276e-5,0.0008597890207624635,5.731416611973751,0.06304558273171125,0.0010000000000000009
presynaptic,5.491525423728813,10,0.15757218584896665,0.011403996225583156,0.00021960622111177392,4.040876389808756e-5,0.0008719829519029859,5.827913308788139,0.06410704639666952,0.0010000000000000009
presynaptic,5.593220338983051,10,0.1612360328339162,0.008958486677388916,0.0002330243514673452,3.1462522979455604e-5,0.0008953753401135577,5.924666745185055,0.06517133419703561,0.0010000000000000009
presynaptic,5.694915254237288,10,0.15976413178882415,0.01212319863606614,0.0002336436543308671,3.5319481222637576e-5,0.0008969036595486589,6.014910763971988,0.06616401840369188,0.0010000000000000007
presynaptic,5.796610169491525,10,0.1619957613250605,0.014292228382968229,0.00024216281092462972,3.563589973489906e-5,0.0008901750263935925,6.109327283904881,0.06720260012295372,0.0010000000000000009
presynaptic,5.898305084745763,10,0.16463470052879542,0.012464636437213393,0.00022944356795165776,4.31372196231266e-5,0.0008847736390564754,6.201695387778113,0.06821864926555923,0.0010000000000000007
presynaptic,6.0,10,0.16345370690288344,0.010272548470977355,0.00023258657060598785,4.244180001366286e-5,0.0008943011081441254,6.288646625178262,0.06917511287696088,0.0010000000000000007
postsynaptic,0.0,0,0.0,0.0,0.0004066195716457785,6.819247242996943e-5,0.0005934219736981436,1.0,0.050000000000000024,0.0006250000000000002
postsynaptic,0.12244897959183673,10,0.09720907562186301,0.004659530310588101,0.0002489593112698466,4.454593830040099e-6,0.0005951147609952979,1.0000470960055183,0.05000000000000003,0.000625029435003449
postsynaptic,0.24489795918367346,10,0.09112715979527741,0.002887860004768107,0.0002554311991001247,4.717737307739536e-6,0.0005953409346666838,1.000341418890206,0.049999999999999975,0.0006252133868063787
postsynaptic,0.3673469387755102,10,0.09006327853061971,0.0030512629187328727,0.0002539971423557019,5.076249295859854e-6,0.0005959124909682577,1.0007660953695383,0.04999999999999998,0.0006254788096059614
postsynaptic,0.4897959183673469,10,0.07561027464391135,0.022536342860383436,0.0003096071674576575,5.350027122637188e-5,0.0007270154444943427,1.205446161593086,0.05000000000000001,0.0007534038509956788
postsynaptic,0.6122448979591837,10,0.08544260544197682,0.02354802181464001,0.00036058953504839277,4.518043526299062e-5,0.0008286645305607323,1.3692791258245347,0.050000000000000024,0.0008557994536403341
postsynaptic,0.7346938775510204,10,0.10598985329492813,0.005939859064634266,0.00043888641544487743,2.2234504475665222e-5,0.000953153270160752,1.5841541562156036,0.05000000000000003,0.0009900963476347524
postsynaptic,0.8571428571428571,10,0.1120743564502606,0.005117623896212233,0.000459868797169217,3.1062196747324557e-5,0.001021165575692544,1.6994867411094723,0.05000000000000003,0.00106217921319342
postsynaptic,0.9795918367346939,10,0.11330605725167205,0.0021478490863556096,0.0004918312321232474,2.56438383740374e-5,0.0010870792584784723,1.8090873792675164,0.05000000000000003,0.0011306796120421978
postsynaptic,1.1020408163265305,10,0.11956634521030347,0.0035458533040846354,0.0005208304768359054,2.764151641387089e-5,0.001155471641485462,1.9220516518064918,0.05000000000000001,0.0012012822823790573
postsynaptic,1.2244897959183674,10,0.12324902789373324,0.004031413108345337,0.000547320311553428,3.0246748613311e-5,0.0012203044414720253,2.031980690316409,0.049999999999999975,0.0012699879314477553
postsynaptic,1.346938775510204,10,0.1253884998145668,0.0036131567167539125,0.0005888471465654264,2.935116923486243e-5,0.0012864542603086265,2.1411008160451326,0.049999999999999954,0.001338188010028208
postsynaptic,1.469387755102041,10,0.1268454761860194,0.0024265276500604377,0.0005978299834128481,2.7675009170544436e-5,0.0013530800160793208,2.251502304962026,0.04999999999999993,0.0014071889406012666
postsynaptic,1.5918367346938775,10,0.12738313270880572,0.003937414060339874,0.0006265861504150525,3.497118580307737e-5,0.0014164131133426396,2.358785793986316,0.04999999999999995,0.0014742411212414473
postsynaptic,1.7142857142857142,10,0.13047217363733424,0.0030074697698240305,0.0006611784498869223,2.8801293193200628e-5,0.0014839006960062579,2.470441661649303,0.04999999999999993,0.0015440260385308146
postsynaptic,1.836734693877551,10,0.13181080505141396,0.0026412381095515776,0.0006960528300875917,3.282950037678353e-5,0.0015486792671539616,2.5785158979441154,0.04999999999999993,0.0016115724362150718
postsynaptic,1.9591836734693877,10,0.1359576912291782,0.0030160628241248273,0.0007189339317901146,3.314077328116881e-5,0.0016165562130432752,2.68957174472382,0.04999999999999994,0.0016809823404523873
postsynaptic,2.0816326530612246,10,0.13750587741412723,0.002968430207702323,0.0007668596336018684,3.452830851176118e-5,0.0016838607307136765,2.8010915216217707,0.04999999999999994,0.001750682201013606
postsynaptic,2.204081632653061,10,0.13975819048114416,0.004478032520380227,0.0008066984435880222,3.9942613865252384e-5,0.0017499826268728331,2.9132223115853293,0.04999999999999995,0.0018207639447408303
postsynaptic,2.326530612244898,10,0.1404908303577582,0.002825798774835437,0.0007879655636581091,3.496721383479382e-5,0.001815711032062114,3.020264381689265,0.04999999999999994,0.0018876652385557912
postsynaptic,2.4489795918367347,10,0.14283577798723965,0.0038821868999299116,0.000840504411515386,4.6473674745644246e-5,0.0018813133881456744,3.1337821040594185,0.04999999999999995,0.0019586138150371364
postsynaptic,2.5714285714285716,10,0.14337960844577177,0.004944961010715263,0.0008664425756632574,3.2063793736198914e-5,0.0019436080061254676,3.2414320405637085,0.04999999999999995,0.0020258950253523177
postsynaptic,2.693877551020408,10,0.14483963869066893,0.0031236908374755535,0.0008929484837155129,4.6782621342892455e-5,0.0020164403152561406,3.352547622340895,0.04999999999999996,0.0020953422639630593
postsynaptic,2.816326530612245,10,0.14824832922922052,0.003885098296156251,0.0009287068772498221,4.813365412204561e-5,0.002077366327534895,3.4624515481686338,0.049999999999999954,0.002164032217605396
postsynaptic,2.938775510204082,10,0.15105062401882846,0.0036776046429791162,0.0009396854938067756,4.964123194812633e-5,0.002149501902772467,3.5761379215020677,0.04999999999999995,0.002235086200938793
postsynaptic,3.061224489795918,10,0.15265459428966727,0.002841271492250478,0.0009790127565945668,3.056166306671158e-5,0.0022110507809496188,3.6856773217578094,0.04999999999999995,0.0023035483260986306
postsynaptic,3.183673469387755,10,0.1570140867451914,0.004583354784650247,0.0009958923180303266,4.612440948170959e-5,0.002279764926893777,3.801335045877965,0.04999999999999996,0.0023758344036737275
postsynaptic,3.306122448979592,10,0.15546223763802733,0.005175664609933003,0.0010443568219757253,3.3851635325603946e-5,0.0023459805446514837,3.910399031180689,0.04999999999999996,0.002443999394487931
postsynaptic,3.4285714285714284,10,0.1550350219512888,0.004137065171837073,0.001069823862026764,6.412319250285595e-5,0.002412016798259179,4.020123412868478,0.049999999999999954,0.0025125771330427988
postsynaptic,3.5510204081632653,10,0.16174132005636913,0.0051289324999316864,0.0010873081027573885,4.512889845181823e-5,0.002479499637947574,4.138695479683707,0.049999999999999975,0.002586684674802317
postsynaptic,3.673469387755102,10,0.16063978851323157,0.006586939568149579,0.001113259132544106,3.0583530766190976e-5,0.002541604496437244,4.242775100969231,0.04999999999999996,0.002651734438105769
