mode,control_gain,phase,interval_start_s,frequency_hz,driver_frequency_hz
postsynaptic,1.5555555555555556,post,237.93133820068832,0.10505394406820416,NaN
postsynaptic,1.5555555555555556,post,247.45025735093716,0.09409515654795535,NaN
postsynaptic,1.6706349206349207,pre,109.64330204778739,0.07297486744080754,4.159567444126029
postsynaptic,1.6706349206349207,pre,123.34664999577969,0.07544724338595728,4.225045629613607
postsynaptic,1.6706349206349207,pre,136.6009447204313,0.08285716917048425,4.225715627694696
postsynaptic,1.6706349206349207,pre,148.66990640487447,0.08900660725052395,4.183310540774626
postsynaptic,1.6706349206349207,pre,159.90502737949305,0.09140964463478353,4.204843653200042
postsynaptic,1.6706349206349207,pre,170.84479203994417,0.08982630632426235,4.22183639724033
postsynaptic,1.6706349206349207,pre,181.97738827951477,0.10114669068630698,4.147014318138586
postsynaptic,1.6706349206349207,pre,191.86401920351966,0.10051057908100719,4.221444321402302
postsynaptic,1.6706349206349207,pre,201.81322066214466,0.09298102449818874,4.184146102418493
postsynaptic,1.6706349206349207,post,223.67328201595484,0.11476189815699751,NaN
postsynaptic,1.6706349206349207,post,232.3869754635133,0.10512639981052828,NaN
postsynaptic,1.6706349206349207,post,241.8993339367638,0.09261607339218848,NaN
postsynaptic,1.7857142857142858,pre,111.04192793864338,0.07336556401805085,4.255202713046949
postsynaptic,1.7857142857142858,pre,124.67230089882345,0.07901317724751426,4.1876983941182555
postsynaptic,1.7857142857142858,pre,137.32841769903047,0.08870162194287001,4.168976231314891
postsynaptic,1.7857142857142858,pre,148.60216870940172,0.09237537045932592,4.249267041128992
postsynaptic,1.7857142857142858,pre,159.42756507888436,0.08871562508187984,4.169634378848353
postsynaptic,1.7857142857142858,pre,170.6995366067528,0.08800112832641115,4.224054159667735
postsynaptic,1.7857142857142858,pre,182.0630272689501,0.09665980128773274,4.253031256660241
postsynaptic,1.7857142857142858,pre,192.40858960900957,0.09714615606445226,4.177284710771447
postsynaptic,1.7857142857142858,pre,202.70235768498515,0.09475660866146457,4.169290781104441
postsynaptic,1.7857142857142858,post,224.0543482106864,0.11600331860619541,NaN
postsynaptic,1.7857142857142858,post,232.67479124641343,0.10564987221869501,NaN
postsynaptic,1.7857142857142858,post,242.14001802804174,0.09191977124569617,NaN
postsynaptic,1.9007936507936507,pre,94.01379568995971,0.06901700987868503,4.210037602599787
postsynaptic,1.9007936507936507,pre,108.50297744033914,0.08244509344723741,4.204699765809107
postsynaptic,1.9007936507936507,pre,120.63226201250076,0.08604884088767355,4.216393203496004
postsynaptic,1.9007936507936507,pre,132.253569047948,0.08986430587703116,4.133758070343434
postsynaptic,1.9007936507936507,pre,143.38145781580187,0.09815303384263566,4.220580455233333
postsynaptic,1.9007936507936507,pre,153.56962990636868,0.1164290258542656,4.191444930753561
postsynaptic,1.9007936507936507,pre,162.1585534386475,0.10871341111124008,4.2398230333383635
postsynaptic,1.9007936507936507,pre,171.35705056773452,0.11131063282485618,4.229804047344534
