mode,control_gain,burst_time_s,burst_frequency_hz,mean_effective_excitation,peak_effective_excitation,mean_gain_factor,alpha_eff,g_eff
presynaptic,5.288135593220339,34.434217711049136,0.16049030882801804,0.00024926115159009933,0.0008901925696659439,5.80980477325512,0.06390785250580631,0.0010000000000000009
presynaptic,5.288135593220339,40.66512353522325,0.1749348805744259,0.0001747683350492168,0.0007816087900621231,5.774381059285007,0.06351819165213508,0.0010000000000000009
presynaptic,5.288135593220339,46.381536389631385,0.14228164791867887,0.0002602531979699143,0.0009115803154887495,5.733026637204161,0.06306329300924576,0.0010000000000000009
presynaptic,5.288135593220339,53.40984970078695,0.16181927228686005,0.00021859720124158238,0.0009168456083535569,5.686528483842538,0.0625518133222679,0.0010000000000000009
presynaptic,5.288135593220339,59.58958333737927,0.15342239563816978,0.0002076939080645349,0.0009081161128311426,5.637767486341213,0.06201544234975334,0.0010000000000000009
presynaptic,5.288135593220339,66.1075365725666,0.128382977211392,0.00017271331241169928,0.0007712679983794822,5.5773266198903775,0.061350592818794146,0.0010000000000000009
presynaptic,5.288135593220339,73.8967312284393,0.13220364274918517,0.00021432936893884654,0.0008601132726478173,5.504320657151361,0.06054752722866496,0.0010000000000000007
presynaptic,5.288135593220339,81.46081932166366,0.13635150254168063,0.00022928675592436126,0.000879706725898779,5.425394622192311,0.059679340844115414,0.0010000000000000009
presynaptic,5.288135593220339,88.7948052430459,0.13494426493597475,0.0002241760091515002,0.0008759174947697429,5.338578451996509,0.05872436297196158,0.0010000000000000007
presynaptic,5.389830508474576,28.2862740298635,0.16496767780308394,0.0002511518638117346,0.0008989300462168632,5.937476215549368,0.06531223837104304,0.0010000000000000007
presynaptic,5.389830508474576,34.34806754794687,0.16257349955062558,0.00023541148853002775,0.0009335424628501539,5.902837633443349,0.06493121396787684,0.0010000000000000009
presynaptic,5.389830508474576,40.499131545241205,0.1753915141146809,0.0001752921534895813,0.000786955562840159,5.866889042348008,0.06453577946582807,0.0010000000000000007
presynaptic,5.389830508474576,46.20066166229204,0.1560168828963351,0.00021821126522692314,0.0009213335796386485,5.8276718378386025,0.06410439021622463,0.0010000000000000007
presynaptic,5.389830508474576,52.61022440598848,0.14111576056115463,0.0002551130371245083,0.0009167377129396556,5.7793304568979,0.06357263502587689,0.0010000000000000009
presynaptic,5.389830508474576,59.69660509106182,0.15928543301035392,0.00022985437660163054,0.0008468238125611996,5.727516132195306,0.06300267745414836,0.0010000000000000009
presynaptic,5.389830508474576,65.97464308299168,0.1572348669831097,0.00023599410550587268,0.0008749887469594237,5.67304063424953,0.06240344697674482,0.0010000000000000007
presynaptic,5.389830508474576,72.3345556086748,0.1508468189967706,0.0002084627453131971,0.0009098273179736161,5.611762617719676,0.06172938879491645,0.0010000000000000009
presynaptic,5.389830508474576,78.96379715749002,0.1371418237321246,0.00010599072124853,0.000629735962748582,5.539006854343213,0.060929075397775354,0.0010000000000000007
