mode,control_gain,onset_failed,n_pre_intervals,mean_pre_frequency_hz,mean_pre_driver_frequency_hz,n_post_intervals,mean_post_frequency_hz,anchor_gain,anchor_target_alpha,anchor_target_g,si1_excitatory_g,compensated_direct_post_base_g,calibration_note,alpha1,beta1,s0_floor,alpham,betam,sm_floor,ca_shift_si2,ca_shift_si3,x_shift_si2,x_shift_si3,presynaptic_base_g,direct_post_base_g,presynaptic_base_alpha,postsynaptic_base_alpha,alphax,betax,si3_exc_floor,slow_inhib_g,slow_inhib_alpha,slow_inhib_beta,si2_mutual_inhib_g,si2_mutual_inhib_alpha,si2_mutual_inhib_beta,si_inhib_floor,si3_mutual_inhib_g,si3_mutual_inhib_alpha,si3_mutual_inhib_beta,t1_ms
postsynaptic,4.8,false,9,0.1505332828523667,3.679519525936165,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,5.0285714285714285,false,9,0.15060901664460247,3.6895860190555987,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,5.257142857142857,false,9,0.15549161986543775,3.686848636470236,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,5.485714285714286,false,9,0.14220802173746636,3.681293523055675,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,5.714285714285714,false,9,0.14206832009992995,3.67770279877308,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,5.942857142857143,false,9,0.15267504161758544,3.67879478581231,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,6.171428571428572,false,9,0.1420144462416226,3.6923756022821865,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,6.4,false,9,0.14201444361227847,3.6923755339192414,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,6.628571428571429,false,9,0.16685222862635316,3.68856606071222,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,6.857142857142857,false,9,0.16764797663922038,3.6882554860628485,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,7.085714285714285,false,9,0.14242143530181217,3.687093284433672,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,7.314285714285714,false,9,0.16779927737470668,3.691463954340728,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,7.542857142857143,false,9,0.16788699268312812,3.674753645835492,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,7.771428571428571,false,9,0.16757740806146676,3.686702977352269,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
postsynaptic,8.0,false,9,0.16771579262764053,3.6897474378080903,0,0.0,,,,0.002,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
